Feature Profile,Round Index,Random Seed,Accuracy (%),Dice Score,Precision,Recall,F1 Score,Cohen's Kappa
coh_vh_diff,1,42,93.86,0.8943,0.9328,0.8589,0.8943,0.8511
coh_vh_diff,2,43,93.8,0.8934,0.9311,0.8586,0.8934,0.8498
coh_vh_diff,3,44,92.17,0.8631,0.9154,0.8165,0.8631,0.8085
coh_vh_diff,4,45,92.61,0.8713,0.9201,0.8275,0.8713,0.8197
coh_vh_diff,5,46,93.12,0.8809,0.9245,0.8412,0.8809,0.8326
coh_vv_diff,1,42,93.41,0.8825,0.9572,0.8186,0.8825,0.8371
coh_vv_diff,2,43,93.96,0.8954,0.9402,0.8547,0.8954,0.8531
coh_vv_diff,3,44,90.48,0.8342,0.8815,0.7918,0.8342,0.7677
coh_vv_diff,4,45,91.56,0.8502,0.9176,0.792,0.8502,0.7918
coh_vv_diff,5,46,93.82,0.8925,0.9419,0.848,0.8925,0.8493
coh_vh_nonflood,1,42,94.17,0.9002,0.9336,0.8691,0.9002,0.8591
coh_vh_nonflood,2,43,92.89,0.8735,0.9452,0.812,0.8735,0.8245
coh_vh_nonflood,3,44,94.16,0.8987,0.9449,0.8567,0.8987,0.8578
coh_vh_nonflood,4,45,93.68,0.889,0.9478,0.837,0.889,0.845
coh_vh_nonflood,5,46,92.84,0.8754,0.9245,0.8313,0.8754,0.8254
coh_vh_flood,1,42,94.75,0.9116,0.9283,0.8955,0.9116,0.8742
coh_vh_flood,2,43,93.43,0.882,0.9646,0.8125,0.882,0.8369
coh_vh_flood,3,44,93.27,0.8895,0.8842,0.8948,0.8895,0.8411
coh_vh_flood,4,45,93.68,0.8896,0.9436,0.8414,0.8896,0.8455
coh_vh_flood,5,46,94.16,0.8985,0.9479,0.8539,0.8985,0.8576
coh_vv_nonflood,1,42,93.58,0.8946,0.8889,0.9004,0.8946,0.8485
coh_vv_nonflood,2,43,93.62,0.8921,0.9129,0.8723,0.8921,0.8469
coh_vv_nonflood,3,44,92.5,0.8673,0.9321,0.811,0.8673,0.8154
coh_vv_nonflood,4,45,94.37,0.9067,0.9093,0.9041,0.9067,0.8663
coh_vv_nonflood,5,46,93.89,0.8937,0.9433,0.849,0.8937,0.851
coh_vv_flood,1,42,94.55,0.9072,0.9357,0.8804,0.9072,0.8687
coh_vv_flood,2,43,93.55,0.8898,0.92,0.8616,0.8898,0.8443
