,Mean Acc (%),Std Acc (%),Mean Dice,Std Dice,Mean Precision,Mean Recall,Mean F1 Score,Std F1 Score,Mean Kappa
coh_vh_diff,93.11,0.66,0.8806,0.0122,0.9248,0.8405,0.8806,0.0122,0.8324
coh_vv_diff,92.65,1.38,0.871,0.0244,0.9277,0.821,0.871,0.0244,0.8198
coh_vh_nonflood,93.55,0.58,0.8874,0.0112,0.9392,0.8412,0.8874,0.0112,0.8424
coh_vh_flood,93.86,0.54,0.8942,0.0101,0.9337,0.8596,0.8942,0.0101,0.8511
coh_vv_nonflood,93.59,0.62,0.8909,0.0129,0.9173,0.8674,0.8909,0.0129,0.8456
coh_vv_flood,93.55,0.72,0.8892,0.0112,0.9269,0.8555,0.8892,0.0112,0.8438
amp_vh_reference,93.56,0.44,0.8875,0.0106,0.9405,0.8414,0.8875,0.0106,0.8426
amp_vh_secondary,93.7,0.19,0.8897,0.0037,0.945,0.8405,0.8897,0.0037,0.8458
amp_vv_reference,93.66,0.32,0.8905,0.006,0.9317,0.8539,0.8905,0.006,0.846
amp_vv_secondary,93.7,0.65,0.8921,0.0095,0.9277,0.8596,0.8921,0.0095,0.8477
dem,92.86,0.61,0.8837,0.0094,0.8708,0.8971,0.8837,0.0094,0.8322
land_use,93.69,0.49,0.8925,0.0076,0.9215,0.8658,0.8925,0.0076,0.848
buildings,94.42,0.27,0.9055,0.004,0.9296,0.8834,0.9055,0.004,0.866
inlets,93.7,0.52,0.893,0.0097,0.9175,0.8703,0.893,0.0097,0.8483
outlets,93.85,0.47,0.8949,0.0087,0.9258,0.8662,0.8949,0.0087,0.8515
open_drains,93.53,0.55,0.889,0.0097,0.925,0.8567,0.889,0.0097,0.8434
gravity_mains,93.64,0.57,0.8909,0.011,0.9257,0.8595,0.8909,0.011,0.8462
roads,93.57,0.72,0.8896,0.0121,0.9266,0.8557,0.8896,0.0121,0.8443
slope,93.8,0.72,0.8942,0.0116,0.9252,0.8655,0.8942,0.0116,0.8504
streamflow_direction,93.33,0.6,0.8847,0.0117,0.9258,0.8474,0.8847,0.0117,0.8379
