,Best Epoch,Accuracy (%),Dice Score,Precision,Recall,F1 Score,Cohen's Kappa
coh_vh_diff,197,90.0699471276189,0.8097556829452515,0.9628016639383438,0.6986922406276483,0.8097556614076793,0.7448483705271596
coh_vv_diff,195,79.98035415265747,0.5123255848884583,0.9732747574589746,0.34766782911940414,0.5123255513736453,0.41997608253247226
coh_vh_nonflood,65,91.72632939097873,0.8492003679275513,0.9462683769379876,0.7701939843068036,0.8492003363043286,0.7930168279174877
coh_vh_flood,180,87.03308149730364,0.7326564192771912,0.9732594251045477,0.5874346120313222,0.7326564406923053,0.6538377020981939
coh_vv_nonflood,83,91.63403346386615,0.842807412147522,0.9761973083874751,0.7414886660853595,0.8428074125021131,0.7872506425989557
coh_vv_flood,88,91.78269583217964,0.8444241881370544,0.98798136600596,0.7372929380993094,0.8444241917641596,0.7901827714940644
amp_vh_reference,76,92.71785135081682,0.8646688461303711,0.9872978568629361,0.7691368788142143,0.8646688343605572,0.8159013704958945
amp_vh_secondary,77,90.87391057843176,0.8296476602554321,0.9527429976539735,0.7347210113338345,0.8296476735515083,0.7687353497064969
amp_vv_reference,188,93.2788787363369,0.877801775932312,0.9751664447402164,0.7981146469048825,0.877801745019774,0.8320835690235248
amp_vv_secondary,189,92.45612647179041,0.8584645390510559,0.9923932626038788,0.7563862249345297,0.8584645401069761,0.8083090990711977
dem,39,93.08340914784489,0.8823328018188477,0.9088084098653141,0.8573561464689563,0.8823328142947656,0.8334138937461455
land_use,153,93.67641047954326,0.8881699442863464,0.9548166344971606,0.8302201394942426,0.8881699319507957,0.8443876823678369
buildings,81,93.10516461637857,0.8747252225875854,0.9709742185109533,0.7958369659981697,0.8747252434484288,0.8278046662702986
inlets,84,91.72731827591208,0.8451672196388245,0.9739233055123667,0.7464799476895437,0.8451672159693817,0.7900629941782727
outlets,56,89.76240391334731,0.7977072596549988,0.9913550267118356,0.6673496076721156,0.7977072836684995,0.7326348360473226
open_drains,50,93.24624553353638,0.8761327862739563,0.9838427176819075,0.7896795989537064,0.876132779457474,0.8304690670236621
gravity_mains,64,93.29140461215934,0.8783749938011169,0.9724376108184069,0.8009045335657367,0.8783749816005157,0.8326545780956599
roads,67,91.62249647297706,0.8399186134338379,0.9950897720996082,0.7266129032257272,0.8399186159588244,0.7850387373792853
slope,199,85.42284719750009,0.6829460859298706,0.9980721275746531,0.5190605928508589,0.6829460598368564,0.6002005042783202
streamflow_direction,83,92.50392257690228,0.8631766438484192,0.96354453503822,0.7817458587619026,0.8631766362305128,0.8123238156303173
