,Best Epoch,Accuracy (%),Dice Score,Precision,Recall,F1 Score,Cohen's Kappa
coh_vh_diff,153,92.66544044934932,0.8714134693145752,0.927574031470181,0.821665213600608,0.8714134587237812,0.8203712396667086
coh_vv_diff,78,92.78015110161782,0.8721029758453369,0.9393798352096435,0.8138186573669558,0.8721029993173898,0.8221664959979896
coh_vh_nonflood,103,93.8016692377675,0.8959656357765198,0.9099204387107352,0.8824324324323363,0.8959656488395702,0.8518391595972703
coh_vh_flood,82,94.54102553960155,0.9100976586341858,0.9066965203187736,0.913524411508183,0.9100976547488466,0.8709038593098563
coh_vv_nonflood,107,93.32931186793772,0.8883839249610901,0.899351193201387,0.8776809067130692,0.888383914166269,0.8408262033384856
coh_vv_flood,48,93.58213678256398,0.8957954049110413,0.8801375625761558,0.9120204882300663,0.8957954179211417,0.8494484223570863
amp_vh_reference,69,93.4314966443838,0.8903573751449585,0.8991387453463467,0.8817458587618917,0.8903573638413375,0.8434765640768523
amp_vh_secondary,96,94.50872196511214,0.9060485363006592,0.9389047980829948,0.8754141238011252,0.9060485526576578,0.8673222502239857
amp_vv_reference,120,93.31579710718194,0.8887535929679871,0.8948409191337943,0.8827484742806362,0.88875356094264,0.8409835144685054
amp_vv_secondary,126,93.83463206887913,0.8994527459144592,0.8875156478749775,0.9117153443765353,0.8994527479010024,0.8550074204085223
dem,58,93.07417955513363,0.8893616199493408,0.8604236502388397,0.9203138622492458,0.8893616299110684,0.8390387696587802
land_use,103,92.95913927455402,0.8734747171401978,0.956786919283551,0.8035091543155184,0.8734747018261021,0.8252099910569468
buildings,187,93.3270044697599,0.8842088580131531,0.9304458782741561,0.8423496076720965,0.8842088354991136,0.8375005945851127
inlets,103,92.92980235486465,0.8832599520683289,0.8822371783022319,0.8842850915430597,0.8832599428590323,0.832554488678013
outlets,134,93.13483116437905,0.8836590647697449,0.9064602266865803,0.8619768962509959,0.8836590888321427,0.8350104921473912
open_drains,119,94.2526007673747,0.9033995270729065,0.918792823656586,0.8885135135134167,0.9033995163203354,0.8625100788761776
gravity_mains,69,94.11679390319476,0.8992969989776611,0.9323653976646779,0.8684938971228348,0.8992969696273105,0.8578164281791445
roads,92,92.89947655024194,0.8766781091690063,0.9234498812006654,0.8344158674802927,0.8766781307291793,0.8270022954244219
slope,138,93.39919306989438,0.882177472114563,0.9586695482038187,0.8169899738447235,0.8821774613618432,0.836735539448578
streamflow_direction,84,92.40503408356737,0.8737431168556213,0.87868801869211,0.8688535309502105,0.873743097475226,0.8194357120782879
