Feature Profile,Round Index,Epoch,Loss,Accuracy (%),F1 Score
custom_feature_subset,1,1,0.785533,45.67,0.6271
custom_feature_subset,1,2,0.604511,69.86,0.6079
custom_feature_subset,1,3,0.492979,59.03,0.1901
custom_feature_subset,1,4,0.423184,62.99,0.3286
custom_feature_subset,1,5,0.495246,45.68,0.6271
custom_feature_subset,1,6,0.404259,45.67,0.627
custom_feature_subset,1,7,0.393444,45.67,0.627
custom_feature_subset,1,8,0.372399,45.88,0.6279
custom_feature_subset,1,9,0.349219,59.18,0.683
custom_feature_subset,1,10,0.326725,72.34,0.6844
custom_feature_subset,1,11,0.308362,73.7,0.6805
custom_feature_subset,1,12,0.295395,74.23,0.6864
custom_feature_subset,1,13,0.281923,71.88,0.6916
custom_feature_subset,1,14,0.272537,71.57,0.7354
custom_feature_subset,1,15,0.267978,47.97,0.637
custom_feature_subset,1,16,0.261652,46.66,0.6313
custom_feature_subset,1,17,0.252847,45.95,0.6283
custom_feature_subset,1,18,0.247281,45.67,0.627
custom_feature_subset,1,19,0.242825,45.67,0.627
custom_feature_subset,1,20,0.23819,45.67,0.627
custom_feature_subset,1,21,0.232817,45.67,0.627
custom_feature_subset,1,22,0.227862,45.67,0.6271
custom_feature_subset,1,23,0.224,45.69,0.627
custom_feature_subset,1,24,0.219272,45.16,0.6214
custom_feature_subset,1,25,0.215567,44.4,0.6123
custom_feature_subset,1,26,0.210993,44.53,0.6117
custom_feature_subset,1,27,0.206748,44.93,0.6167
custom_feature_subset,1,28,0.203092,45.42,0.623
custom_feature_subset,1,29,0.199566,45.6,0.624
custom_feature_subset,1,30,0.195896,44.49,0.6059
custom_feature_subset,1,31,0.192431,44.06,0.5853
custom_feature_subset,1,32,0.18981,44.29,0.5178
custom_feature_subset,1,33,0.187766,50.18,0.5696
custom_feature_subset,1,34,0.184222,52.56,0.5234
custom_feature_subset,1,35,0.179418,56.86,0.5305
custom_feature_subset,1,36,0.176275,63.39,0.5716
custom_feature_subset,1,37,0.173911,70.86,0.6235
custom_feature_subset,1,38,0.170481,74.32,0.6537
custom_feature_subset,1,39,0.167738,75.16,0.6586
custom_feature_subset,1,40,0.165127,77.65,0.7019
custom_feature_subset,1,41,0.161693,80.32,0.7469
custom_feature_subset,1,42,0.159078,80.44,0.7484
custom_feature_subset,1,43,0.157244,82.5,0.7811
custom_feature_subset,1,44,0.154998,85.89,0.8322
custom_feature_subset,1,45,0.152534,83.88,0.7998
custom_feature_subset,1,46,0.149411,84.6,0.8093
custom_feature_subset,1,47,0.147197,88.18,0.8651
custom_feature_subset,1,48,0.145248,88.58,0.8698
custom_feature_subset,1,49,0.142805,87.34,0.8503
custom_feature_subset,1,50,0.141175,88.53,0.8691
custom_feature_subset,1,51,0.137919,86.58,0.8587
custom_feature_subset,1,52,0.136705,88.44,0.8676
custom_feature_subset,1,53,0.134794,88.59,0.8707
custom_feature_subset,1,54,0.133928,73.24,0.7721
custom_feature_subset,1,55,0.135894,81.35,0.8265
custom_feature_subset,1,56,0.135948,83.02,0.8385
custom_feature_subset,1,57,0.127847,77.85,0.8023
custom_feature_subset,1,58,0.131255,80.35,0.8199
custom_feature_subset,1,59,0.125884,79.04,0.8112
custom_feature_subset,1,60,0.125195,78.19,0.8054
custom_feature_subset,1,61,0.122183,80.76,0.8226
custom_feature_subset,1,62,0.120909,81.27,0.826
custom_feature_subset,1,63,0.118699,72.41,0.7671
custom_feature_subset,1,64,0.11703,72.9,0.77
custom_feature_subset,1,65,0.115155,83.1,0.8366
custom_feature_subset,1,66,0.113265,85.88,0.8575
custom_feature_subset,1,67,0.111058,84.27,0.8473
custom_feature_subset,1,68,0.10963,83.24,0.8395
custom_feature_subset,1,69,0.107753,83.33,0.8385
custom_feature_subset,1,70,0.106633,82.21,0.8304
custom_feature_subset,1,71,0.105206,80.26,0.8174
custom_feature_subset,1,72,0.102921,84.5,0.8469
custom_feature_subset,1,73,0.102161,84.44,0.8467
custom_feature_subset,1,74,0.101378,88.18,0.861
custom_feature_subset,1,75,0.101555,88.22,0.8722
custom_feature_subset,1,76,0.100257,86.91,0.8669
custom_feature_subset,1,77,0.097838,88.39,0.8697
custom_feature_subset,1,78,0.09557,88.95,0.8811
custom_feature_subset,1,79,0.09489,87.11,0.8702
custom_feature_subset,1,80,0.094072,86.9,0.869
custom_feature_subset,1,81,0.091064,89.01,0.8806
custom_feature_subset,1,82,0.090497,88.48,0.869
custom_feature_subset,1,83,0.089498,88.4,0.87
custom_feature_subset,1,84,0.08724,88.88,0.8704
custom_feature_subset,1,85,0.086194,88.66,0.8669
custom_feature_subset,1,86,0.084249,88.75,0.8696
custom_feature_subset,1,87,0.083676,88.7,0.8669
custom_feature_subset,1,88,0.081599,88.49,0.8649
custom_feature_subset,1,89,0.079935,88.72,0.8702
custom_feature_subset,1,90,0.079403,88.98,0.8733
custom_feature_subset,1,91,0.077588,88.85,0.8719
custom_feature_subset,1,92,0.076105,88.29,0.8632
custom_feature_subset,1,93,0.076706,88.24,0.8625
custom_feature_subset,1,94,0.076908,87.92,0.8563
custom_feature_subset,1,95,0.076016,84.84,0.8086
custom_feature_subset,1,96,0.075552,88.14,0.8616
custom_feature_subset,1,97,0.085106,87.24,0.8481
custom_feature_subset,1,98,0.088126,87.93,0.8617
custom_feature_subset,1,99,0.074644,87.65,0.8547
custom_feature_subset,1,100,0.079728,82.08,0.7649
custom_feature_subset,1,101,0.075271,81.75,0.7618
custom_feature_subset,1,102,0.077084,85.82,0.8281
custom_feature_subset,1,103,0.072427,87.57,0.8577
custom_feature_subset,1,104,0.072153,87.21,0.8505
custom_feature_subset,1,105,0.068858,86.44,0.8376
custom_feature_subset,1,106,0.069754,86.81,0.8416
custom_feature_subset,1,107,0.066967,87.92,0.8575
custom_feature_subset,1,108,0.065745,88.25,0.8642
custom_feature_subset,1,109,0.064295,88.04,0.862
custom_feature_subset,1,110,0.063202,87.72,0.8564
custom_feature_subset,1,111,0.062041,87.68,0.8563
custom_feature_subset,1,112,0.060837,88.34,0.8687
custom_feature_subset,1,113,0.059706,88.37,0.8735
custom_feature_subset,1,114,0.059294,88.25,0.8681
custom_feature_subset,1,115,0.058096,87.73,0.8578
custom_feature_subset,1,116,0.056574,87.77,0.8577
custom_feature_subset,1,117,0.056087,88.24,0.8654
custom_feature_subset,1,118,0.055463,88.32,0.8673
custom_feature_subset,1,119,0.054166,88.26,0.8673
custom_feature_subset,1,120,0.053502,88.5,0.87
custom_feature_subset,1,121,0.052347,88.55,0.8704
custom_feature_subset,1,122,0.051821,88.54,0.8711
custom_feature_subset,1,123,0.050811,88.74,0.8746
custom_feature_subset,1,124,0.050108,88.77,0.8749
custom_feature_subset,1,125,0.049716,88.55,0.8695
custom_feature_subset,1,126,0.050216,88.05,0.8624
custom_feature_subset,1,127,0.054819,88.14,0.8638
custom_feature_subset,1,128,0.062203,85.11,0.8151
custom_feature_subset,1,129,0.050712,83.89,0.7977
custom_feature_subset,1,130,0.053869,84.06,0.798
custom_feature_subset,1,131,0.051106,84.08,0.7989
custom_feature_subset,1,132,0.053012,80.42,0.7392
custom_feature_subset,1,133,0.04841,77.34,0.6885
custom_feature_subset,1,134,0.049991,79.59,0.729
custom_feature_subset,1,135,0.047599,82.79,0.7804
custom_feature_subset,1,136,0.046994,82.22,0.7698
custom_feature_subset,1,137,0.046757,78.74,0.7084
custom_feature_subset,1,138,0.044845,78.6,0.7045
