Feature Profile,Round Index,Epoch,Loss,Accuracy (%),F1 Score
all_features_included,1,1,0.657821,46.89,0.632
all_features_included,1,2,0.539033,58.61,0.1778
all_features_included,1,3,0.464935,63.16,0.3434
all_features_included,1,4,0.410031,57.71,0.139
all_features_included,1,5,0.378727,55.73,0.0594
all_features_included,1,6,0.348065,54.36,0.0013
all_features_included,1,7,0.309608,54.64,0.0137
all_features_included,1,8,0.271341,54.51,0.0077
all_features_included,1,9,0.257398,54.39,0.0025
all_features_included,1,10,0.238463,54.34,0.0005
all_features_included,1,11,0.22456,54.33,0.0
all_features_included,1,12,0.213199,54.59,0.0114
all_features_included,1,13,0.204254,55.0,0.0571
all_features_included,1,14,0.200238,54.48,0.0071
all_features_included,1,15,0.193647,54.62,0.0162
all_features_included,1,16,0.191356,54.76,0.0257
all_features_included,1,17,0.184529,54.63,0.0172
all_features_included,1,18,0.179885,54.58,0.0141
all_features_included,1,19,0.174955,54.62,0.0219
all_features_included,1,20,0.17076,53.64,0.0244
all_features_included,1,21,0.167282,47.89,0.0831
all_features_included,1,22,0.162771,39.77,0.0878
all_features_included,1,23,0.159444,43.95,0.0648
all_features_included,1,24,0.155512,45.35,0.072
all_features_included,1,25,0.152701,44.66,0.0706
all_features_included,1,26,0.149098,41.57,0.1022
all_features_included,1,27,0.146119,37.58,0.1439
all_features_included,1,28,0.143058,36.28,0.1764
all_features_included,1,29,0.140342,36.27,0.2233
all_features_included,1,30,0.137217,36.42,0.259
all_features_included,1,31,0.134201,37.12,0.3114
all_features_included,1,32,0.131851,39.11,0.3962
all_features_included,1,33,0.129848,35.62,0.3166
all_features_included,1,34,0.136054,50.69,0.6323
all_features_included,1,35,0.140253,52.11,0.6418
all_features_included,1,36,0.133817,55.6,0.6051
all_features_included,1,37,0.127147,63.08,0.6086
all_features_included,1,38,0.12853,69.66,0.7004
all_features_included,1,39,0.121175,73.76,0.7477
all_features_included,1,40,0.119068,78.96,0.7803
all_features_included,1,41,0.119086,79.89,0.7693
all_features_included,1,42,0.115321,79.62,0.7476
all_features_included,1,43,0.112645,77.3,0.6981
all_features_included,1,44,0.111672,74.82,0.6635
all_features_included,1,45,0.109198,73.9,0.6683
all_features_included,1,46,0.107099,73.75,0.6799
all_features_included,1,47,0.1055,74.62,0.6955
all_features_included,1,48,0.102807,76.42,0.7176
all_features_included,1,49,0.101179,78.6,0.7426
all_features_included,1,50,0.099888,80.75,0.7681
all_features_included,1,51,0.097751,82.72,0.793
all_features_included,1,52,0.095925,83.53,0.8007
all_features_included,1,53,0.094725,83.43,0.7927
all_features_included,1,54,0.092826,81.63,0.7601
all_features_included,1,55,0.091059,80.18,0.7343
all_features_included,1,56,0.08959,78.4,0.7034
all_features_included,1,57,0.087941,76.78,0.6738
all_features_included,1,58,0.086754,77.53,0.6886
all_features_included,1,59,0.086101,78.62,0.7062
all_features_included,1,60,0.086977,80.36,0.7376
all_features_included,1,61,0.083633,80.94,0.7464
all_features_included,1,62,0.082763,79.89,0.7247
all_features_included,1,63,0.081975,79.81,0.7217
all_features_included,1,64,0.078885,80.79,0.7391
all_features_included,1,65,0.078874,80.06,0.7266
all_features_included,1,66,0.077471,82.64,0.7705
all_features_included,1,67,0.075164,83.33,0.783
all_features_included,1,68,0.075634,84.73,0.8045
all_features_included,1,69,0.07329,81.61,0.7528
all_features_included,1,70,0.071289,80.74,0.7367
all_features_included,1,71,0.071293,80.68,0.737
all_features_included,1,72,0.069365,82.57,0.7686
all_features_included,1,73,0.068091,80.38,0.7317
all_features_included,1,74,0.067928,81.05,0.7419
all_features_included,1,75,0.067099,79.77,0.7208
all_features_included,1,76,0.066686,83.86,0.7894
all_features_included,1,77,0.066673,81.89,0.7598
all_features_included,1,78,0.066582,86.43,0.8321
all_features_included,1,79,0.062209,86.7,0.8372
all_features_included,1,80,0.061495,85.6,0.8202
all_features_included,1,81,0.061001,86.1,0.8271
all_features_included,1,82,0.058494,85.95,0.8234
all_features_included,1,83,0.059172,85.89,0.8232
all_features_included,1,84,0.056419,87.24,0.8452
all_features_included,1,85,0.055781,87.11,0.8425
all_features_included,1,86,0.055286,85.28,0.8131
all_features_included,1,87,0.052889,85.54,0.818
all_features_included,1,88,0.052555,87.33,0.8459
all_features_included,1,89,0.051654,87.82,0.8521
all_features_included,1,90,0.049956,86.57,0.8333
all_features_included,1,91,0.049292,86.45,0.8313
all_features_included,1,92,0.048533,86.52,0.8325
all_features_included,1,93,0.047571,87.44,0.8464
all_features_included,1,94,0.048106,86.21,0.8296
all_features_included,1,95,0.050018,88.23,0.857
all_features_included,1,96,0.061732,84.77,0.8085
all_features_included,1,97,0.078165,88.24,0.8665
all_features_included,1,98,0.058252,87.58,0.8524
all_features_included,1,99,0.063083,84.38,0.7997
all_features_included,1,100,0.054766,83.34,0.783
all_features_included,1,101,0.05688,86.55,0.8366
all_features_included,1,102,0.050922,86.82,0.8453
all_features_included,1,103,0.051199,85.84,0.8249
all_features_included,1,104,0.051277,83.11,0.7797
all_features_included,1,105,0.048223,84.05,0.7948
all_features_included,1,106,0.047755,86.88,0.8417
all_features_included,1,107,0.045729,88.07,0.8659
all_features_included,1,108,0.045069,87.33,0.8664
all_features_included,1,109,0.043654,87.38,0.8677
all_features_included,1,110,0.042913,88.38,0.8736
all_features_included,1,111,0.042213,88.76,0.872
all_features_included,1,112,0.040676,88.54,0.8655
all_features_included,1,113,0.04001,87.7,0.8523
all_features_included,1,114,0.039071,86.94,0.8397
all_features_included,1,115,0.038399,85.64,0.8205
all_features_included,1,116,0.037389,84.64,0.8075
all_features_included,1,117,0.036605,84.65,0.8083
all_features_included,1,118,0.035776,85.43,0.8182
all_features_included,1,119,0.035436,86.22,0.8297
all_features_included,1,120,0.034296,86.98,0.8415
all_features_included,1,121,0.034125,87.62,0.8506
all_features_included,1,122,0.0332,87.64,0.8509
all_features_included,1,123,0.032716,87.59,0.8506
